posture_key,posture_ko,region,exercise_key,tight_primary,weak_primary,stretch_focus,strengthen_focus,mobility_focus,recommended_summary,clinical_notes
"Functional Asymmetry 89","기능적 비대칭 89","전신","Functional_Asymmetry_89","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 90","기능적 비대칭 90","전신","Functional_Asymmetry_90","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 91","기능적 비대칭 91","전신","Functional_Asymmetry_91","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 92","기능적 비대칭 92","전신","Functional_Asymmetry_92","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 93","기능적 비대칭 93","전신","Functional_Asymmetry_93","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 94","기능적 비대칭 94","전신","Functional_Asymmetry_94","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 95","기능적 비대칭 95","전신","Functional_Asymmetry_95","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 96","기능적 비대칭 96","전신","Functional_Asymmetry_96","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 97","기능적 비대칭 97","전신","Functional_Asymmetry_97","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 98","기능적 비대칭 98","전신","Functional_Asymmetry_98","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 99","기능적 비대칭 99","전신","Functional_Asymmetry_99","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
"Functional Asymmetry 100","기능적 비대칭 100","전신","Functional_Asymmetry_100","TFL, 요방형근","중둔근, 복횡근","TFL, 요방형근","중둔근, 복횡근","관절 가동성","스트레칭: TFL, 요방형근 | 강화: 중둔근, 복횡근 | 가동성: 관절 가동성","기능적 부하 증가"
