Order,Exercise_Name_KR,Exercise_Name_EN,Main_Strengthen_Muscles (주요 강화 근육),Main_Stretch_Muscles (주요 스트레칭 근육),How_to_Perform_Step_by_Step (상세 동작 설명),Spring_Traditional,Reps,Breathing_Pattern,References
48,푸시쓰루 바 스파인 익스텐션,Push Through Bar Spine Extension,"척주기립근, 대둔근","복직근, 장요근","1. 준비: 푸시쓰루 바를 바라보고 엎드려 누워, 양손으로 바를 잡습니다. 2. 신전: 숨을 들이마시며 척추 기립근을 사용하여 상체를 들어 올립니다. 3. 돌아오기: 숨을 내쉬며 복부의 통제력으로 천천히 돌아옵니다. 4. 주의: 요추에서 과도한 신전이 일어나지 않도록 복부를 당깁니다.",1 Red,6,"Inhale lift, Exhale lower","Return to Life p.80"
49,푸시쓰루 바 레그 프레스,Push Through Bar Leg Press,"대퇴사두근, 대둔근, 햄스트링","고관절 굴곡근","1. 준비: 푸시쓰루 바를 바라보고 누워, 발바닥을 바에 대고 무릎을 세웁니다. 2. 밀어내기: 숨을 내쉬며 둔부와 햄스트링의 힘으로 다리를 쭉 펴서 바를 천장으로 밉니다. 3. 돌아오기: 숨을 들이마시며 천천히 무릎을 구부려 돌아옵니다. 4. 주의: 허리가 뜨지 않도록 복부를 당깁니다.",1 Red,8,"Exhale push, Inhale return","Joseph Pilates Original"
50,롤 다운 바 푸시,Roll Down Bar Push,"복직근, 삼두근, 전거근",척주기립근,"1. 준비: 롤 다운 자세로 내려가 C 커브를 만든 상태를 유지합니다. 2. 푸시: 숨을 내쉬며 팔을 쭉 펴서(삼두근 사용) 바를 아래로 강하게 누릅니다. 3. 돌아오기: 숨을 들이마시며 팔꿈치를 살짝 구부려 원래 자세로 돌아옵니다. 4. 주의: **C 커브(복부 긴장)**는 동작 내내 풀리지 않도록 유지하고, 허리가 꺾이지 않도록 합니다.",2 Yellow,6,"Exhale push, Inhale up","Romana Cadillac Tape 1999"
51,레그 스프링 싱글 레그 스트레치,Leg Spring Single Leg Stretch,"복직근, 복사근, 장요근","대둔근, 햄스트링","1. 준비: 누워서 한쪽 발에 스트랩을 걸고 무릎을 구부립니다. 반대쪽 다리는 앞으로 뻗습니다. 2. 교차: 숨을 내쉬며 스트랩 걸린 다리를 펴고, 숨을 들이마시며 구부립니다. 3. 주의: 다리를 뻗을 때 허리가 뜨지 않도록 복부의 통제력을 유지합니다.",1 Yellow each,8+8,"Exhale extend, Inhale return","Return to Life p.40"
52,푸시쓰루 바 트위스트,Push Through Bar Twist,"복사근, 외복사근","요방형근","1. 준비: 푸시쓰루 바를 바라보고 앉아, 양손으로 바를 잡고 팔을 앞으로 나란히 폅니다. 2. 트위스트: 숨을 내쉬며 척추를 길게 늘린 상태에서 몸통을 한쪽 방향으로 회전시킵니다. 3. 돌아오기: 숨을 들이마시며 중앙으로 돌아옵니다. 4. 주의: 골반이 움직이지 않도록 고정합니다.",1 Red,6+6,"Exhale twist, Inhale center","Return to Life p.24"
53,푸시쓰루 바 힙 익스텐션,Push Through Bar Hip Extension,"대둔근, 햄스트링","장요근","1. 준비: 푸시쓰루 바를 바라보고 엎드려 누워, 발바닥을 바에 대고 다리를 곧게 폅니다. 2. 익스텐션: 숨을 내쉬며 둔근과 햄스트링의 힘으로 다리를 천장으로 살짝 들어 올립니다. 3. 돌아오기: 숨을 들이마시며 천천히 돌아옵니다. 4. 주의: 허리가 꺾이지 않도록 복부를 당깁니다.",1 Red,6,"Exhale lift, Inhale return","Joseph Pilates Original"
54,행잉 서클 리버스,Hanging Circles Reverse,"복직근, 복사근, 척주기립근","고관절 굴곡근","1. 준비: 푸시쓰루 바에 매달려 다리를 곧게 폅니다. 2. 서클: 숨을 내쉬며 다리로 원을 그립니다. 3. 방향: 3번은 한 방향, 3번은 반대 방향으로 원을 그립니다. 4. 주의: **복부의 통제력**을 사용하여 몸통이 흔들리지 않도록 합니다.",2 Yellow,3+3,"Exhale circle","Joseph Pilates Hanging"
55,푸시쓰루 바 롱 스파인,Push Through Bar Long Spine,"복직근, 대둔근, 햄스트링","척주기립근","1. 준비: 누워서 발바닥을 푸시쓰루 바에 대고 무릎을 구부립니다. 2. 롤 오버: 숨을 내쉬며 복부의 힘으로 엉덩이를 들어 올려 다리를 천장으로 뻗습니다. 3. 분절 & 내리기: 숨을 들이마시며 척추를 하나하나 분절하여 내려옵니다. 4. 주의: 목에 힘이 들어가지 않도록 주의하고, 척추의 부드러운 분절에 집중합니다.",1 Red,6,"Exhale roll over, Inhale roll down","Romana Kryzanowska 1998"
56,푸시쓰루 바 숄더 브릿지,Push Through Bar Shoulder Bridge,"대둔근, 햄스트링, 척주기립근","고관절 굴곡근","1. 준비: 누워서 발바닥을 푸시쓰루 바에 대고 무릎을 세웁니다. 2. 롤 업: 숨을 내쉬며 꼬리뼈부터 척추를 하나씩 들어 올려 엉덩이를 천장으로 듭니다. 3. 밀어내기: 엉덩이를 든 상태에서 다리를 쭉 펴서 바를 천장으로 밉니다. 4. 돌아오기: 숨을 들이마시며 무릎을 구부려 돌아온 후, 숨을 내쉬며 척추를 하나씩 내려놓습니다. 5. 주의: 엉덩이가 떨어지지 않도록 둔근을 강하게 수축합니다.",1 Red,6,"Exhale lift, Inhale push, Exhale return","Return to Life p.78"
57,푸시쓰루 바 트위스트 시팅,Push Through Bar Twist Sitting,"복사근, 외복사근","요방형근","1. 준비: 타워를 바라보고 앉아, 양손으로 푸시쓰루 바를 잡고 팔을 앞으로 나란히 폅니다. 2. 트위스트: 숨을 내쉬며 척추를 길게 늘린 상태에서 몸통을 한쪽 방향으로 회전시킵니다. 3. 돌아오기: 숨을 들이마시며 중앙으로 돌아옵니다. 4. 주의: 골반이 움직이지 않도록 고정합니다.",1 Red,6+6,"Exhale twist, Inhale center","Return to Life p.24"
58,푸시쓰루 바 롤 업,Push Through Bar Roll Up,"복직근, 복사근, 장요근","요추 기립근, 햄스트링","1. 준비: 푸시쓰루 바를 바라보고 누워, 팔은 머리 위로 뻗어 바를 잡습니다. 다리는 앞으로 쭉 폅니다. 2. 롤 업: 숨을 내쉬며 복부의 힘으로 척추를 C 커브 모양으로 말아 올라옵니다. 3. 전방 굴곡: 몸이 수직이 되면 복부의 긴장을 풀지 않고 바를 앞으로 밀어 햄스트링을 스트레칭합니다. 4. 롤 다운: 숨을 들이마시며 척추를 하나씩 말아 천천히 내려갑니다.",1 Red,6,"Exhale roll up, Inhale roll down","Romana Kryzanowska Mat 1998"
